start1	end1	start2	end2	strand	identity	length
28	6676	1	6644	1	0.99	6643
2015945	2018325	225771	228157	1	0.87	2386
2015969	2018325	270274	272638	1	0.87	2364
2018324	2023787	189944	195456	1	0.93	5512
2018327	2023969	195541	201185	1	0.99	5644
2059620	2086332	289572	316225	1	0.99	26653
2082622	2088868	261414	267774	1	1.00	6360
2018316	2023969	82897	88600	-1	0.90	5703
2018323	2023969	180767	186472	-1	0.99	5705
2057806	2061433	282824	286459	-1	0.97	3635
2059541	2061404	245466	247474	-1	0.86	2008
2105434	2110012	225795	230366	-1	1.00	4571
2105464	2110015	270268	274818	-1	1.00	4550
